"","Fiscal.Year","ProductOrServiceArea","SubCustomer","Customer","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation","Graph","pObligation","pObligationLS","LengthSingleScore","JointScore","AddressCat","pObligationA"
"255718",2013-09-30,"Other","DLA","Defense","9390","MISC FABRICATED NONMETAL MATERIALS",0,1,1,0,2,"Not PBL","Not PBL",217015.928,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.000217015928,0.000220387862293084,5.33649161029391,TRUE,7.1860682574274e-08,1.2624190269701e-07,1,5,"Outer edge [4-5]",1.80343112481198e-07
"255725",2014-09-30,"Other","DLA","Defense","5306","BOLTS",0,1,1,0,2,"Not PBL","Not PBL",2944464.5464,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00288265879669377,0.0029444645464,6.46900632945021,TRUE,9.60085686745616e-07,1.68663919552474e-06,1,5,"Outer edge [4-5]",2.40945166109984e-06
"255726",2014-09-30,"Other","DLA","Defense","5365","BUSHINGS, RINGS, SHIMS AND SPACERS",0,1,1,0,2,"Not PBL","Not PBL",2799131.9022,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00274037675571552,0.0027991319022,6.44702336400668,TRUE,9.12697854657806e-07,1.6033901938016e-06,1,5,"Outer edge [4-5]",2.29052613985087e-06
"255741",2013-09-30,"Other","DLA","Defense","6660","METEOROLOG INSTRUMENTS & APPARATUS",0,1,1,0,2,"Not PBL","Not PBL",213809.5996,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0002138095996,0.000217131714837006,5.33002720021661,TRUE,7.07989681208479e-08,1.2437672624836e-07,1,5,"Outer edge [4-5]",1.77678611084356e-07
"255742",2013-09-30,"Other","DLA","Defense","6670","SCALES AND BALANCES",0,1,1,0,2,"Not PBL","Not PBL",56472.9087,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,5.64729087e-05,5.73503693510714e-05,4.75184015713349,TRUE,1.86999258696655e-08,3.28512635492936e-08,1,5,"Outer edge [4-5]",4.69297356174913e-08
"255743",2013-09-30,"Other","DLA","Defense","6760","PHOTOGRAPHIC EQ & ACCESSORIES",0,1,1,0,2,"Not PBL","Not PBL",244350.252,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.000244350252,0.000248146899563319,5.38801279125514,TRUE,8.09119222618344e-08,1.42142749710859e-07,1,5,"Outer edge [4-5]",2.03058298012324e-07
"255744",2013-09-30,"Other","DLA","Defense","7310","FOOD COOKING BAKING SERVING EQ",0,1,1,0,2,"Not PBL","Not PBL",3397471.8126,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0033974718126,0.00345026080288413,6.53115586226014,TRUE,1.12500794633052e-06,1.97636786357029e-06,1,5,"Outer edge [4-5]",2.8233441061129e-06
"255782",2013-09-30,"Other","DLA","Defense","9320","RUBBER FABRICATED MATERIALS",0,1,1,0,2,"Not PBL","Not PBL",4454,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,4.454e-06,4.52320503706713e-06,3.64875021269802,TRUE,1.47485709060865e-09,2.59096850537387e-09,1,5,"Outer edge [4-5]",3.70133303298943e-09
"255846",2014-09-30,"Other","DLA","Defense","3110","BEARINGS, ANTIFRICTION, UNMOUNTED",0,1,1,0,2,"Not PBL","Not PBL",4822947.6747,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0047217116461687,0.0048229476747,6.68331255018389,TRUE,1.57259255713024e-06,2.76266616830538e-06,1,5,"Outer edge [4-5]",3.9466120590283e-06
"255878",2014-09-30,"Other","DLA","Defense","3120","BEARINGS, PLAIN, UNMOUNTED",0,1,1,0,2,"Not PBL","Not PBL",5986878.7566,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00586121124587912,0.0059868787566,6.77720046311098,TRUE,1.95210929250979e-06,3.42938561854371e-06,1,5,"Outer edge [4-5]",4.89905540976196e-06
"255879",2014-09-30,"Other","DLA","Defense","3130","BEARINGS, MOUNTED",0,1,1,0,2,"Not PBL","Not PBL",1874740.7565,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0018353890318878,0.0018747407565,6.2729412209674,TRUE,6.11286615379672e-07,1.07388327878717e-06,1,5,"Outer edge [4-5]",1.53409801975821e-06
"255880",2014-09-30,"Other","DLA","Defense","3455","CUTTING TOOLS FOR MACHINE TOOLS",0,1,1,0,2,"Not PBL","Not PBL",8359.5098,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,8.18403960423987e-06,8.3595098e-06,3.92218081124322,TRUE,2.72574031057782e-09,4.78846889200675e-09,1,5,"Outer edge [4-5]",6.84057642949598e-09
"255881",2014-09-30,"Other","DLA","Defense","3655","GAS GENERATING & DISPENSING SYSTEM",0,1,1,0,2,"Not PBL","Not PBL",63339.5491,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,6.20100210121287e-05,6.33395491e-05,4.80167496740219,TRUE,2.06527854343436e-08,3.62819672152408e-08,1,5,"Outer edge [4-5]",5.18306739264021e-08
"255882",2014-09-30,"Other","DLA","Defense","3920","MAT HANDLING EQ - NONSELF-PROPELLED",0,1,1,0,2,"Not PBL","Not PBL",5567.3701,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,5.45050828098328e-06,5.5673701e-06,3.7456500927,TRUE,1.81532236560996e-09,3.18908395013049e-09,1,5,"Outer edge [4-5]",4.55577199997309e-09
"255883",2014-09-30,"Other","DLA","Defense","4120","AIR CONDITIONING EQUIPMENT",0,1,1,0,2,"Not PBL","Not PBL",118823.252,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000116329093874927,0.000118823252,5.07490143414005,TRUE,3.87440574338876e-08,6.80639725847416e-08,1,5,"Outer edge [4-5]",9.72329187181838e-08
"255884",2014-09-30,"Other","DLA","Defense","4140","FANS AIR CIRCULATORS & BLOWER EQ",0,1,1,0,2,"Not PBL","Not PBL",3184186.7094,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0031173490743469,0.0031841867094,6.50299852529829,TRUE,1.03825060055767e-06,1.82395611334809e-06,1,5,"Outer edge [4-5]",2.60561600770371e-06
"255885",2014-09-30,"Other","DLA","Defense","4720","HOSE AND FLEXIBLE TUBING",0,1,1,0,2,"Not PBL","Not PBL",1895646.6046,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00185585605602008,0.0018956466046,6.27775737731783,TRUE,6.18103272606749e-07,1.08585850289515e-06,1,5,"Outer edge [4-5]",1.55120524915e-06
"255887",2014-09-30,"Other","DLA","Defense","4930","LUBRICATION & FUEL DISPENSING EQ",0,1,1,0,2,"Not PBL","Not PBL",941326.1111,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000921567216028325,0.0009413261111,5.97374010559057,TRUE,3.0693313218255e-07,5.39207550212579e-07,1,5,"Outer edge [4-5]",7.7028598113011e-07
"255888",2014-09-30,"Other","DLA","Defense","5120","HAND TOOLS, NONEDGED, NONPOWERED",0,1,1,0,2,"Not PBL","Not PBL",200456.7658,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000196249080328255,0.0002004567658,5.30202071910496,TRUE,6.53618573506687e-08,1.14825032829746e-07,1,5,"Outer edge [4-5]",1.64033521112024e-07
"255936",2014-09-30,"Other","DLA","Defense","6645","TIME MEASURING INSTRUMENTS",0,1,1,0,2,"Not PBL","Not PBL",10134.5996,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,9.92186940190124e-06,1.01345996e-05,4.00580659516562,TRUE,3.30453427559662e-09,5.8052704140073e-09,1,5,"Outer edge [4-5]",8.29313019600017e-09
"255937",2014-09-30,"Other","DLA","Defense","6655","GEOPHYSICAL INSTRUMENTS",0,1,1,0,2,"Not PBL","Not PBL",979363.4376,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000958806120457315,0.0009793634376,5.99094388654664,TRUE,3.19335758248933e-07,5.60995975495644e-07,1,5,"Outer edge [4-5]",8.01411877901825e-07
"255938",2014-09-30,"Other","DLA","Defense","6665","HAZARD-DETECTING INSTRU & APPARATUS",0,1,1,0,2,"Not PBL","Not PBL",325607.3496,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000318772692216711,0.0003256073496,5.51269419921072,TRUE,1.06169033766205e-07,1.86513408306354e-07,1,5,"Outer edge [4-5]",2.66444087540207e-07
"255954",2014-09-30,"Other","DLA","Defense","5430","STORAGE TANKS",0,1,1,0,2,"Not PBL","Not PBL",15929.0596,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,1.5594700854911e-05,1.59290596e-05,4.20219013722071,TRUE,5.19390262109826e-09,9.12443530762073e-09,1,5,"Outer edge [4-5]",1.30347295775401e-08
"255955",2014-09-30,"Other","DLA","Defense","5670","BUILDING COMPONENTS, PREFABRICATED",0,1,1,0,2,"Not PBL","Not PBL",23874.8008,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,2.3373657064262e-05,2.38748008e-05,4.37793975672399,TRUE,7.7847276340983e-09,1.36758905329183e-08,1,5,"Outer edge [4-5]",1.95367196783945e-08
"255994",2014-09-30,"Other","DLA","Defense","6625","ELECT ELECTRONIC MEASURING INSTRUMT",0,1,1,0,2,"Not PBL","Not PBL",12906713.0832,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0126357948684347,0.0129067130832,7.11081565577682,TRUE,4.208422379975e-06,7.39318399949238e-06,1,5,"Outer edge [4-5]",1.05615471973255e-05
"255995",2014-09-30,"Other","DLA","Defense","6660","METEOROLOG INSTRUMENTS & APPARATUS",0,1,1,0,2,"Not PBL","Not PBL",139073.7188,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00013615449348096,0.0001390737188,5.14324506774533,TRUE,4.53470180123629e-08,7.9663783176556e-08,1,5,"Outer edge [4-5]",1.13803850410658e-07
"255996",2014-09-30,"Other","DLA","Defense","6670","SCALES AND BALANCES",0,1,1,0,2,"Not PBL","Not PBL",96601.0693,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,9.45733656491581e-05,9.66010693e-05,4.98498193375006,TRUE,3.14981900775966e-08,5.53347297083901e-08,1,5,"Outer edge [4-5]",7.90485343671333e-08
"256081",2014-09-30,"Other","DLA","Defense","7690","MISCELLANEOUS PRINTED MATTER",0,1,1,0,2,"Not PBL","Not PBL",0,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0,0,0,TRUE,0,0,1,5,"Outer edge [4-5]",0
"256082",2014-09-30,"Other","DLA","Defense","8115","BOXES, CARTONS, AND CRATES",0,1,1,0,2,"Not PBL","Not PBL",11288.4004,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,1.10514513592791e-05,1.12884004e-05,4.05263240546161,TRUE,3.68074788454973e-09,6.46618706708336e-09,1,5,"Outer edge [4-5]",9.23728394970635e-09
"256292",2013-09-30,"Other","DLA","Defense","3694","CLEAN WORK STATIONS ENVIRONMENT EQ",0,1,1,0,2,"Not PBL","Not PBL",150570,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.00015057,0.000152909515588504,5.17773845040172,TRUE,4.98583817092376e-08,8.75891620687344e-08,1,5,"Outer edge [4-5]",1.2512566564374e-07
"256293",2013-09-30,"Other","DLA","Defense","3740","PEST DISEASE & FROST CONT EQ",0,1,1,0,2,"Not PBL","Not PBL",0,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0,0,0,TRUE,0,0,1,5,"Outer edge [4-5]",0
"256294",2013-09-30,"Other","DLA","Defense","3940","BLOCKS, TACKLE, RIGGING, AND SLINGS",0,1,1,0,2,"Not PBL","Not PBL",27300,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,2.73e-05,2.77241799532853e-05,4.43616264704076,TRUE,9.03987395007098e-09,1.58808801519323e-08,1,5,"Outer edge [4-5]",2.26866618321983e-08
"256295",2013-09-30,"Other","DLA","Defense","3950","WINCHES HOISTS CRANES & DERRICKS",0,1,1,0,2,"Not PBL","Not PBL",103743.3496,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0001037433496,0.000105355285467655,5.01596026611093,TRUE,3.4352630166379e-08,6.03492930973486e-08,1,5,"Outer edge [4-5]",8.62120985243491e-08
"256296",2013-09-30,"Other","DLA","Defense","4440","DRIERS DEHYDRATORS & ANHYDRATORS",0,1,1,0,2,"Not PBL","Not PBL",1478946,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.001478946,0.00150192545953082,6.16995231711375,TRUE,4.89724740621307e-07,8.6032835813845e-07,1,5,"Outer edge [4-5]",1.22902372784185e-06
"256297",2013-09-30,"Other","DLA","Defense","4540","WASTE DISPOSAL EQUIPMENT",0,1,1,0,2,"Not PBL","Not PBL",160794.0897,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0001607940897,0.000163292464405403,5.2062700813661,TRUE,5.32438938756193e-08,9.35366911232511e-08,1,5,"Outer edge [4-5]",1.33622019693775e-07
"256298",2013-09-30,"Other","DLA","Defense","4710","PIPE, TUBE AND RIGID TUBING",0,1,1,0,2,"Not PBL","Not PBL",6512201.2211,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0065122012211,0.00661338602731796,6.81372781139331,TRUE,2.1563911419869e-06,3.78825960137569e-06,1,5,"Outer edge [4-5]",5.41172552697161e-06
"256330",2013-09-30,"Other","DLA","Defense","4931","FIRE CONT MAINT EQ",0,1,1,0,2,"Not PBL","Not PBL",196056.3203,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0001960563203,0.000199102589925866,5.29238084728489,TRUE,6.49203085211261e-08,1.14049337938211e-07,1,5,"Outer edge [4-5]",1.62925400685394e-07
"256331",2013-09-30,"Other","DLA","Defense","5307","STUDS",0,1,1,0,2,"Not PBL","Not PBL",260016.4643,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0002600164643,0.00026405652919671,5.4150008484641,TRUE,8.60994894584297e-08,1.51256055204304e-07,1,5,"Outer edge [4-5]",2.16077128072453e-07
"256332",2013-09-30,"Other","DLA","Defense","5355","KNOBS AND POINTERS",0,1,1,0,2,"Not PBL","Not PBL",28311.96,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,2.831196e-05,2.87518635117295e-05,4.45196993604541,TRUE,9.3749651897235e-09,1.64695547115861e-08,1,5,"Outer edge [4-5]",2.3527614004642e-08
"256333",2013-09-30,"Other","DLA","Defense","5410","PREFABRICATED & PORTABLE BUILDINGS",0,1,1,0,2,"Not PBL","Not PBL",760875.0938,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0007608750938,0.000772697363460953,5.8813133683005,TRUE,2.51949265190492e-07,4.4261414561275e-07,1,5,"Outer edge [4-5]",6.32297287530506e-07
"256334",2013-09-30,"Other","DLA","Defense","5640","WALLBOARD BLDG & THERMAL INSULATION",0,1,1,0,2,"Not PBL","Not PBL",25913.3398,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,2.59133398e-05,2.63159742053417e-05,4.41352338995366,TRUE,8.5807078907457e-09,1.50742360329706e-08,1,5,"Outer edge [4-5]",2.15343288273057e-08
"256335",2013-09-30,"Other","DLA","Defense","5680","MISC CONTRUCT MATERIALS",0,1,1,0,2,"Not PBL","Not PBL",63312613.8146,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0633126138146,0.0642963479380522,7.8014902434192,TRUE,2.096476367522e-05,3.68300378056863e-05,1,5,"Outer edge [4-5]",5.2613621220674e-05
"256424",2014-09-30,"Other","DLA","Defense","4420","HEAT EXCHANGERS & STEAM CONDENSERS",0,1,1,0,2,"Not PBL","Not PBL",11789,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,1.15415431290461e-05,1.1789e-05,4.07147696769892,TRUE,3.84397569835996e-09,6.75293900222087e-09,1,5,"Outer edge [4-5]",9.64692397720834e-09
"256445",2013-09-30,"Other","DLA","Defense","6695","COMBINATION & MISC INSTRUMENTS",0,1,1,0,2,"Not PBL","Not PBL",1664098.4829,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0016640984829,0.00168995479120544,6.22117902466769,TRUE,5.51034451498914e-07,9.68034746078655e-07,1,5,"Outer edge [4-5]",1.38288789512918e-06
"256447",2013-09-30,"Other","DLA","Defense","9330","PLASTICS FABRICATED MATERIALS",0,1,1,0,2,"Not PBL","Not PBL",38052.1602,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,3.80521602e-05,3.86434042855692e-05,4.58037931646296,TRUE,1.26002465837329e-08,2.21355969105615e-08,1,5,"Outer edge [4-5]",3.16218494667413e-08
"256543",2014-09-30,"Other","DLA","Defense","4710","PIPE, TUBE AND RIGID TUBING",0,1,1,0,2,"Not PBL","Not PBL",4137405.9452,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00405055977257593,0.0041374059452,6.61672813416869,TRUE,1.34906165981837e-06,2.36997624695577e-06,1,5,"Outer edge [4-5]",3.385634117923e-06
"256622",2014-09-30,"Other","DLA","Defense","6650","OPTICAL INSTRUMENTS",0,1,1,0,2,"Not PBL","Not PBL",134225.75,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000131408285915138,0.00013422575,5.12783583930655,TRUE,4.37662669517464e-08,7.68867844836159e-08,1,5,"Outer edge [4-5]",1.09836763596045e-07
"256628",2013-09-30,"Other","DLA","Defense","3835","PETROLEUM PRODUCTION AND DISTRIBUTION EQUIPMENT",0,1,1,0,2,"Not PBL","Not PBL",592082.75,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.00059208275,0.000601282370265055,5.77238240833932,TRUE,1.96056902124959e-07,3.44424732336136e-07,1,5,"Outer edge [4-5]",4.92028612671357e-07
"256629",2013-09-30,"Other","DLA","Defense","4210","FIRE FIGHTING EQUIPMENT",0,1,1,0,2,"Not PBL","Not PBL",1509411.4762,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0015094114762,0.00153286429998984,6.17880764765047,TRUE,4.99812801598482e-07,8.78050650310749e-07,1,5,"Outer edge [4-5]",1.25434094235123e-06
"256630",2013-09-30,"Other","DLA","Defense","5305","SCREWS",0,1,1,0,2,"Not PBL","Not PBL",1000126.2963,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0010001262963,0.00101566598588403,6.0000548463228,TRUE,3.31172734531258e-07,5.81790690415247e-07,1,5,"Outer edge [4-5]",8.31118207825901e-07
"256631",2013-09-30,"Other","DLA","Defense","5335","METAL SCREENING",0,1,1,0,2,"Not PBL","Not PBL",12665.2798,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,1.26652798e-05,1.28620694627805e-05,4.10261478861956,TRUE,4.19386567525202e-09,7.36761137708752e-09,1,5,"Outer edge [4-5]",1.05250153784898e-08
"256639",2013-09-30,"Other","DLA","Defense","3695","MISC SPECIAL INDUSTRY MACHINE",0,1,1,0,2,"Not PBL","Not PBL",2985,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,2.985e-06,3.0313801157713e-06,3.47494433546539,TRUE,9.88425778057212e-10,1.73642590672227e-09,1,5,"Outer edge [4-5]",2.48057456297114e-09
"256640",2013-09-30,"Other","DLA","Defense","3805","EARTH MOVING & EXCAVATING EQ",0,1,1,0,2,"Not PBL","Not PBL",-2743.1599,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,-2.7431599e-06,-2.78578237026506e-06,NA,TRUE,-9.0834504472122e-10,-1.59574335565885e-09,1,5,"Outer edge [4-5]",-2.27960223454018e-09
"256641",2013-09-30,"Other","DLA","Defense","4030","FITTINGS FOR ROPE, CABLE, AND CHAIN",0,1,1,0,2,"Not PBL","Not PBL",85521.4376,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,8.55214376e-05,8.68502463694526e-05,4.93207499267429,TRUE,2.83187917924125e-08,4.97492930749655e-08,1,5,"Outer edge [4-5]",7.10694481404635e-08
"256642",2013-09-30,"Other","DLA","Defense","4520","SPACE AND WATER HEATING EQUIPMENT",0,1,1,0,2,"Not PBL","Not PBL",459613.5714,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0004596135714,0.000466754921702041,5.66239284398734,TRUE,1.52192261948643e-07,2.6736512980238e-07,1,5,"Outer edge [4-5]",3.81944969517976e-07
"256643",2013-09-30,"Other","DLA","Defense","4610","WATER PURIFICATION EQUIPMENT",0,1,1,0,2,"Not PBL","Not PBL",0,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0,0,0,TRUE,0,0,1,5,"Outer edge [4-5]",0
"256644",2013-09-30,"Other","DLA","Defense","5325","FASTENING DEVICES",0,1,1,0,2,"Not PBL","Not PBL",210187.0391,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0002101870391,0.000213452867980095,5.32260593233497,TRUE,6.95994263517451e-08,1.22269420418924e-07,1,5,"Outer edge [4-5]",1.74668215295705e-07
"256645",2013-09-30,"Other","DLA","Defense","5440","SCAFFOLDING EQ & CONCRETE FORMS",0,1,1,0,2,"Not PBL","Not PBL",38249.9966,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,3.82499966e-05,3.88443146135879e-05,4.58263140088568,TRUE,1.26657563316719e-08,2.22506817515172e-08,1,5,"Outer edge [4-5]",3.17862541372504e-08
"256646",2013-09-30,"Other","DLA","Defense","5360","COIL, FLAT, LEAF, AND WIRE SPRINGS",0,1,1,0,2,"Not PBL","Not PBL",301808.3401,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0003018083401,0.000306497755763177,5.47973123679597,TRUE,9.9938071486599e-08,1.7556710908358e-07,1,5,"Outer edge [4-5]",2.50806730768711e-07
"256657",2013-09-30,"Other","DLA","Defense","6625","ELECT ELECTRONIC MEASURING INSTRUMT",0,1,1,0,2,"Not PBL","Not PBL",5683795.6685,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0056837956685,0.00577210893520869,6.75463845672236,TRUE,1.88208045425639e-06,3.30636182489086e-06,1,5,"Outer edge [4-5]",4.72330953313455e-06
"256658",2013-09-30,"Other","DLA","Defense","6635","PHYSICAL PROPERTIES TEST EQ",0,1,1,0,2,"Not PBL","Not PBL",172113.3125,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0001721133125,0.000174787562201686,5.23581446313227,TRUE,5.69920384662702e-08,1.00121277962072e-07,1,5,"Outer edge [4-5]",1.43028443864724e-07
"256659",2013-09-30,"Other","DLA","Defense","6675","DRAFTING SURVEYING & MAPPING INSTRU",0,1,1,0,2,"Not PBL","Not PBL",0,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0,0,0,TRUE,0,0,1,5,"Outer edge [4-5]",0
"256660",2013-09-30,"Other","DLA","Defense","7690","MISCELLANEOUS PRINTED MATTER",0,1,1,0,2,"Not PBL","Not PBL",144457.9093,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0001444579093,0.000146702456890423,5.15974132514393,TRUE,4.78344795297724e-08,8.40336536480589e-08,1,5,"Outer edge [4-5]",1.20046437262838e-07
