"","Fiscal.Year","ProductOrServiceArea","Customer","SubCustomer","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","SubCustomer.sum","SubCustomer.detail","SubCustomer.platform","SubCustomer.component","Subcustomer.Obsolete","ProductServiceOrRnDarea","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","ProductOrServicesCategory.Graph","ProductServiceOrRnDarea.sum","SupplyServiceFRC","SupplyServiceERS","Deflator.2005","Deflator.2011","Deflator.2012","Deflator.2013","Deflator.2014","Deflator.2015","Deflator.2016","Obligation.2013","Obligation.2014","Obligation.2015","Obligation.2016","LogOfAction.Obligation","Fiscal.Year.End","Fiscal.Year.Start","Graph","LengthSingleScore","pObligation","pObligationLS","JointScore","AddressCat","pObligationA"
"31",2004-01-01,"Other","Defense","Army","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,0,"Not PBL","Not PBL",12888,"Army","Army","Army","Army",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",0.9645,0.843168109,0.824077239,0.807788945,0.810993072,0.793958032,0.7932,1.59546625139813e-05,1.58916277400703e-05,1.62325960322296e-05,1.62481089258699e-05,4.11018552741116,2004-09-30,2003-10-01,TRUE,0,5.19313286580442e-09,9.03757829211389e-09,0,"No history [0-3]",7.34674211880142e-09
"32",2005-01-01,"Other","Defense","Air Force","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,0,"Not PBL","Not PBL",19046,"Air Force","Air Force","Air Force","Air Force",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1,0.87420229,0.854408749,0.837520938,0.839076212,0.821363965,0.8206,2.27409240006367e-05,2.2698772444761e-05,2.31882585693907e-05,2.32098464538143e-05,4.2798037799941,2005-09-30,2004-10-01,TRUE,0,7.41820583425982e-09,1.29098595677379e-08,0,"No history [0-3]",1.04945601541148e-08
"33",2005-01-01,"Other","Defense","Army","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,0,"Not PBL","Not PBL",405991,"Army","Army","Army","Army",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1,0.87420229,0.854408749,0.837520938,0.839076212,0.821363965,0.8206,0.000484753254013573,0.000483854737142757,0.000494288789501497,0.000494748964172557,5.60851640625291,2005-09-30,2004-10-01,TRUE,0,1.58128993219415e-07,2.75190948008268e-07,0,"No history [0-3]",2.23705605981793e-07
"34",2005-01-01,"Other","Defense","Army","5530","PLYWOOD AND VENEER",-2,0,0,0,0,"Not PBL","Not PBL",51128,"Army","Army","Army","Army",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1,0.87420229,0.854408749,0.837520938,0.839076212,0.821363965,0.8206,6.10468320017093e-05,6.09336783343347e-05,6.22476784697999e-05,6.23056300268096e-05,4.7086588045405,2005-09-30,2004-10-01,TRUE,0,1.99137891365135e-08,3.4655848996078e-08,0,"No history [0-3]",2.81721028856233e-08
"35",2005-01-01,"Other","Defense","Army","9620","MINERALS, NATURAL AND SYNTHETIC",-2,0,0,0,0,"Not PBL","Not PBL",6687,"Army","Army","Army","Army",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1,0.87420229,0.854408749,0.837520938,0.839076212,0.821363965,0.8206,7.98427800022356e-06,7.9694787009407e-06,8.14133597886778e-06,8.1489154277358e-06,3.8252313231999,2005-09-30,2004-10-01,TRUE,0,2.60451236026963e-09,4.5326173962755e-09,0,"No history [0-3]",3.68461218894076e-09
"36",2005-01-01,"Other","Defense","Army","9660","PRECIOUS METALS PRIMARY FORMS",-2,0,0,0,0,"Not PBL","Not PBL",445,"Army","Army","Army","Army",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1,0.87420229,0.854408749,0.837520938,0.839076212,0.821363965,0.8206,5.31330000014877e-07,5.30345150578527e-07,5.41781742275484e-07,5.42286132098465e-07,2.64836001098093,2005-09-30,2004-10-01,TRUE,0,1.73322566221024e-10,3.01632232891072e-10,0,"No history [0-3]",2.45200003600813e-10
"37",2004-01-01,"Other","Defense","Navy","9660","PRECIOUS METALS PRIMARY FORMS",-2,0,0,0,0,"Not PBL","Not PBL",1086208,"Navy","Navy","Navy","Navy",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",0.9645,0.843168109,0.824077239,0.807788945,0.810993072,0.793958032,0.7932,0.00134466806796916,0.00133935546122643,0.0013680924636077,0.00136939989914271,6.03591299707847,2004-09-30,2003-10-01,TRUE,0,4.37680203592465e-07,7.61692259584144e-07,0,"No history [0-3]",6.19187621305017e-07
"38",2005-01-01,"Clothing & Subsistence","Defense","Army","8905","MEAT, POULTRY, AND FISH",-2,0,0,0,0,"Not PBL","Not PBL",12464,"Army","Army","Army","Army",FALSE,"Clothing & Subsistence","Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,"Products (All)","Supplies","Supplies",1,0.87420229,0.854408749,0.837520938,0.839076212,0.821363965,0.8206,1.48820160004167e-05,1.48544313636197e-05,1.51747587319587e-05,1.51888861808433e-05,4.09565744032849,2005-09-30,2004-10-01,TRUE,0,4.85458980984009e-09,8.44841382191981e-09,0,"No history [0-3]",6.86780414579895e-09
"39",2005-01-01,"Clothing & Subsistence","Defense","Army","8975","TOBACCO PRODUCTS",-2,0,0,0,0,"Not PBL","Not PBL",112204,"Army","Army","Army","Army",FALSE,"Clothing & Subsistence","Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,"Products (All)","Supplies","Supplies",1,0.87420229,0.854408749,0.837520938,0.839076212,0.821363965,0.8206,0.000133971576003751,0.000133723252304524,0.000136606918225345,0.000136734097002194,5.05000833951339,2005-09-30,2004-10-01,TRUE,0,4.37022139781208e-08,7.6054703504067e-08,0,"No history [0-3]",6.18256656270239e-08
"40",2005-01-01,"Fuels","Defense","Army","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",272321,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",1,0.87420229,0.854408749,0.837520938,0.839076212,0.821363965,0.8206,0.000325151274009104,0.000324548588203809,0.000331547294018432,0.000331855959054351,5.43508113319623,2005-09-30,2004-10-01,TRUE,0,1.06066010237922e-07,1.84586047849729e-07,0,"No history [0-3]",1.50051932990061e-07
